,words,polarity_score,count_up,count_down,total
234,다우존스산업평균지수/NNG,0.6829193706632357,180.0,365.0,545.0
235,업황/NNG;개선/NNG,0.3644233483802354,10.0,38.0,48.0
236,고스란히/MAG,0.5730242995220253,12.0,29.0,41.0
237,수요/NNG;둔화/NNG;우려/NNG,0.488756020180551,6.0,17.0,23.0
238,궁성/NNG,0.1384808723844894,2.0,20.0,22.0
239,신축/NNG,0.4276615176579821,21.0,68.0,89.0
240,세이렌/NNG,0.0577003634935372,1.0,24.0,25.0
241,먹구름/NNG,0.1888375532515765,6.0,44.0,50.0
242,져야/VV,0.1731010904806118,2.0,16.0,18.0
243,편성/NNG,0.5762868602335897,67.0,161.0,228.0
244,용기/NNG,0.3692823263586386,4.0,15.0,19.0
245,자연실업률/NNG,0.5702153568773095,14.0,34.0,48.0
246,높/VA;불확실성/NNG,0.6294585108385884,10.0,22.0,32.0
247,회견/NNG,0.4072966834837925,5.0,17.0,22.0
248,오퍼레이션트위스트/NNG,0.1457693393520941,4.0,38.0,42.0
249,에이스/NNG,0.3436751577425285,34.0,137.0,171.0
250,무역전쟁/NNG,0.6536297176547902,59.0,125.0,184.0
251,경제력/NNG,0.4431387916303662,8.0,25.0,33.0
252,민심/NNG,0.5539234895379578,6.0,15.0,21.0
253,기대/NNG;살/VV,0.6462440711276174,7.0,15.0,22.0
254,세부섹터/NNG,0.6924043619224471,7.0,14.0,21.0
255,종이/NNG,0.4290956609096856,22.0,71.0,93.0
256,글로벌/NNG;경기/NNG;침체/NNG,0.6622998244475583,11.0,23.0,34.0
257,업무보고/NNG,0.5035668086708708,8.0,22.0,30.0
258,글로벌/NNG;유동성/NNG;증가/NNG,0.5539234895379578,6.0,15.0,21.0
259,고환/NNG,0.3692823263586386,4.0,15.0,19.0
260,하이퍼인플레이션/NNG,0.6462440711276174,7.0,15.0,22.0
261,불명확/NNG,0.2769617447689789,3.0,15.0,18.0
262,악영향/NNG,0.5470849279387238,32.0,81.0,113.0
263,부채/NNG;늘/VV,0.5193032714418354,6.0,16.0,22.0
264,과소/NNG,0.7331340302708266,18.0,34.0,52.0
265,조위/NNG,0.6924043619224471,7.0,14.0,21.0
266,절감/NNG,0.6435287599043921,79.0,170.0,249.0
267,시총상위/NNG,0.5193032714418354,21.0,56.0,77.0
268,제조/NNG,0.5357289223633533,53.0,137.0,190.0
269,만난/VV,0.325837346787034,4.0,17.0,21.0
270,열린다/VV,0.6391424879284128,6.0,13.0,19.0
271,북문/NNG,0.6924043619224473,13.0,26.0,39.0
272,너스/NNG,0.4221977816600287,25.0,82.0,107.0
273,비용/NNG;감소/NNG,0.5830773574083766,8.0,19.0,27.0
274,회계기준/NNG,0.153867635982766,15.0,135.0,150.0
275,고용보고서/NNG,0.507763198743128,22.0,60.0,82.0
276,임차료/NNG,0.5770036349353728,5.0,12.0,17.0
277,세계/NNG;경제/NNG;불확실성/NNG,0.6924043619224473,6.0,12.0,18.0
278,실버타운/NNG,0.4260949919522752,8.0,26.0,34.0
279,전쟁/NNG,0.5765083528452994,97.0,233.0,330.0
280,처분/NNG,0.5733973622170266,53.0,128.0,181.0
281,집중투자/NNG,0.651674693574068,8.0,17.0,25.0
282,시화/NNG,0.4196390072257256,10.0,33.0,43.0
283,코스피/NNG,0.7078729700079487,961.0,1880.0,2841.0
284,부결/NNG,0.7264570354596168,32.0,61.0,93.0
285,고정이하여신비율/NNG,0.6020907494977802,20.0,46.0,66.0
286,목표액/NNG,0.6924043619224471,25.0,50.0,75.0
287,묶인/VV,0.4327527262015295,5.0,16.0,21.0
288,경기민감물가/NNG,0.4154426171534683,12.0,40.0,52.0
289,공간/NNG,0.56331202325894,48.0,118.0,166.0
290,초고령사회/NNG,0.2967447265381916,3.0,14.0,17.0
291,은행동맹/NNG,0.532618739940344,5.0,13.0,18.0
292,최고/NNG,0.7649501382181035,891.0,1613.0,2504.0
293,추첨/NNG,0.5303522772171937,18.0,47.0,65.0
294,신용평가/NNG,0.6844456910957524,129.0,261.0,390.0
295,맞물린/VV,0.5275461805123408,8.0,21.0,29.0
296,gdp/NNG;상승/NNG,0.7553502130063061,6.0,11.0,17.0
297,분산투자/NNG,0.6330554166148089,16.0,35.0,51.0
298,놓치/VV,0.671422411561161,16.0,33.0,49.0
299,금/NNG;가격/NNG;상승/NNG,0.532618739940344,5.0,13.0,18.0
300,운용사/NNG,0.5193032714418354,48.0,128.0,176.0
301,커버드본드/NNG,0.3889912145631726,25.0,89.0,114.0
302,아베노믹스/NNG,0.6436434913645285,33.0,71.0,104.0
303,대외변수/NNG,0.6700687373443037,30.0,62.0,92.0
304,이자/NNG;부담/NNG,0.4154426171534683,12.0,40.0,52.0
305,창구/NNG,0.7494258976101782,46.0,85.0,131.0
306,코인/NNG,0.4643669972174496,56.0,167.0,223.0
307,부동산/NNG;pf/NNG;우려/NNG,0.4616029079482982,5.0,15.0,20.0
308,소상공인/NNG,0.4740306785469061,267.0,780.0,1047.0
309,인과관계/NNG,0.5665126597547296,9.0,22.0,31.0
310,금융경제/NNG,0.6854103784686851,49.0,99.0,148.0
311,금융정책/NNG,0.3956596353842555,28.0,98.0,126.0
312,응찰금액/NNG,0.4616029079482982,10.0,30.0,40.0
313,가족/NNG,0.447399741549889,21.0,65.0,86.0
314,대준/NNG,0.6058538166821413,7.0,16.0,23.0
315,종속회사/NNG,0.4327527262015295,5.0,16.0,21.0
316,인하/NNG;금리/NNG;인하/NNG,0.2596516357209177,3.0,16.0,19.0
317,취급/NNG,0.7253759982044686,121.0,231.0,352.0
318,아웃/NNG,0.4747915624611066,12.0,35.0,47.0
319,박차/NNG,0.6924043619224473,9.0,18.0,27.0
320,역세권/NNG,0.4390856929264299,13.0,41.0,54.0
321,놓인/VV,0.5035668086708708,8.0,22.0,30.0
322,주된/VV,0.5934894530763833,27.0,63.0,90.0
323,상담/NNG,0.4359583019511704,17.0,54.0,71.0
324,소집/NNG,0.5101926877323295,7.0,19.0,26.0
325,노동력/NNG,0.5816196640148557,21.0,50.0,71.0
326,우대/NNG,0.6670724950228455,79.0,164.0,243.0
327,피하/VV,0.7172599031196633,101.0,195.0,296.0
328,희생/NNG,0.532618739940344,10.0,26.0,36.0
329,실손/NNG,0.5934894530763833,6.0,14.0,20.0
330,즐기/VV,0.4053098703936276,12.0,41.0,53.0
331,신설/NNG,0.6782736606587237,96.0,196.0,292.0
332,당분간/MAG;완화/NNG,0.7501047254159846,13.0,24.0,37.0
333,출석/NNG,0.4124962156133728,14.0,47.0,61.0
334,동일/NNG,0.6136387863598408,335.0,756.0,1091.0
335,관측/NNG,0.4856447260706053,101.0,288.0,389.0
336,안착/NNG,0.7491588178177299,66.0,122.0,188.0
337,구할/VV,0.4616029079482982,5.0,15.0,20.0
338,전방/NNG,0.5846970167345109,19.0,45.0,64.0
339,기각/NNG,0.6058538166821413,7.0,16.0,23.0
340,만기구간/NNG,0.5440319986533515,11.0,28.0,39.0
341,불확실성/NNG;크/VV,0.7553502130063061,18.0,33.0,51.0
342,인하/NNG,0.6586542163855782,5318.0,11181.0,16499.0
343,자사/NNG,0.6924043619224474,29.0,58.0,87.0
344,전망/NNG;금리/NNG;인하/NNG,0.6798151917056754,27.0,55.0,82.0
345,공동체/NNG,0.5702153568773095,7.0,17.0,24.0
346,공모주청약/NNG,0.7553502130063061,6.0,11.0,17.0
347,되풀이/NNG,0.5193032714418354,9.0,24.0,33.0
348,책임자/NNG,0.6417406281232437,19.0,41.0,60.0
349,액티브펀드/NNG,0.3462021809612235,5.0,20.0,25.0
350,전월세/NNG,0.5898259379339366,23.0,54.0,77.0
351,마두/NNG,0.6462440711276174,7.0,15.0,22.0
352,내수기업/NNG,0.6391424879284128,12.0,26.0,38.0
353,시가총액상위종목/NNG,0.3940512628826935,35.0,123.0,158.0
354,예고/NNG,0.6924043619224471,105.0,210.0,315.0
355,빌라/NNG,0.1065237479880688,2.0,26.0,28.0
356,예상/NNG;약하/VA,0.7456662359164816,7.0,13.0,20.0
357,나온다면/VV,0.7553502130063061,18.0,33.0,51.0
358,따라잡/VV,0.5770036349353728,5.0,12.0,17.0
359,단일물/NNG,0.651674693574068,8.0,17.0,25.0
360,공채/NNG,0.2596516357209177,3.0,16.0,19.0
361,기업가/NNG,0.0532618739940344,2.0,52.0,54.0
362,폐지/NNG,0.7522417759157451,132.0,243.0,375.0
363,가입금액/NNG,0.2967447265381916,3.0,14.0,17.0
364,마이너스/NNG,0.7442664494777422,409.0,761.0,1170.0
365,대출보증/NNG,0.2472872721151597,5.0,28.0,33.0
366,장기채권형/NNG,0.6604472375260266,62.0,130.0,192.0
367,일렉트론/NNG,0.2472872721151597,5.0,28.0,33.0
368,담배/NNG,0.5275461805123408,24.0,63.0,87.0
369,신고가/NNG,0.2749974770755818,28.0,141.0,169.0
370,새해/NNG,0.3065189270170517,56.0,253.0,309.0
371,맞춰져/VV,0.7553502130063061,6.0,11.0,17.0
372,벨트/NNG,0.7253759982044686,11.0,21.0,32.0
373,국고채/NNG;금리/NNG;낮/VA,0.7553502130063061,6.0,11.0,17.0
374,화답/NNG,0.651674693574068,8.0,17.0,25.0
375,국채/NNG;발행/NNG;증가/NNG,0.6924043619224471,10.0,20.0,30.0
376,대외교역/NNG,0.3956596353842556,4.0,14.0,18.0
377,콜시장/NNG,0.3535681848114624,12.0,47.0,59.0
378,위험가중치/NNG,0.5539234895379578,16.0,40.0,56.0
379,경합/NNG,0.5128921199425535,10.0,27.0,37.0
380,중구/NNG,0.3360197638741288,33.0,136.0,169.0
381,지지층/NNG,0.3077352719655321,4.0,18.0,22.0
382,한국자금중개/NNG,0.5539234895379577,14.0,35.0,49.0
383,니케/NNG,0.6109450252256888,15.0,34.0,49.0
384,소비/NNG;부진/NNG,0.6685283494423628,14.0,29.0,43.0
385,개장/NNG,0.5743608701952106,163.0,393.0,556.0
386,징계/NNG,0.2865121497610126,6.0,29.0,35.0
387,어렵/VV,0.7339486236377941,265.0,500.0,765.0
388,첨부/NNG,0.4154426171534683,6.0,20.0,26.0
389,자금난/NNG,0.6736907305191379,18.0,37.0,55.0
390,일축/NNG,0.7238772874643767,23.0,44.0,67.0
391,고수/NNG,0.7007465831504286,42.0,83.0,125.0
392,예대마진/NNG,0.7288466967604708,30.0,57.0,87.0
393,던지/VV,0.7553502130063061,12.0,22.0,34.0
394,현금결제/NNG,0.7456662359164816,7.0,13.0,20.0
395,자동차금융/NNG,0.5934894530763833,33.0,77.0,110.0
396,적립/NNG,0.7306352776114167,86.0,163.0,249.0
397,기대/NNG;금리/NNG;인하/NNG,0.2443780100902755,3.0,17.0,20.0
398,국제통화/NNG,0.2769617447689789,4.0,20.0,24.0
399,라운드/NNG,0.1978298176921277,3.0,21.0,24.0
400,스튜디오/NNG,0.5934894530763833,9.0,21.0,30.0
401,현선물/NNG,0.761644798114692,22.0,40.0,62.0
402,일반기업/NNG,0.3887182382722511,16.0,57.0,73.0
403,정주/NNG,0.3462021809612236,4.0,16.0,20.0
404,랩어카운트/NNG,0.1384808723844894,2.0,20.0,22.0
405,실상/NNG,0.329716362820213,5.0,21.0,26.0
406,대출비율/NNG,0.4467124915628691,10.0,31.0,41.0
407,내수산업/NNG,0.3462021809612235,5.0,20.0,25.0
408,민자발전/NNG,0.4616029079482982,10.0,30.0,40.0
409,순이자마진/NNG,0.7528154807478957,81.0,149.0,230.0
410,물품/NNG,0.659432725640426,10.0,21.0,31.0
411,비상금/NNG,0.2967447265381916,6.0,28.0,34.0
412,시세/NNG,0.472541365482618,72.0,211.0,283.0
413,암시/NNG,0.740156386882616,31.0,58.0,89.0
414,경제/NNG;활성화/NNG,0.6924043619224473,17.0,34.0,51.0
415,물가/NNG;상승률/NNG;상승/NNG,0.6924043619224473,6.0,12.0,18.0
416,時差/NNG,0.0532618739940344,1.0,26.0,27.0
417,금리/NNG;인하/NNG;기대/NNG;과도/NNG,0.1107846979075915,2.0,25.0,27.0
418,캡티브/NNG,0.3421292141263857,21.0,85.0,106.0
