,words,polarity_score,count_up,count_down,total
336,인하/NNG;줄/VV,1.5579098143255063,9.0,8.0,17.0
337,강력매수/NNG,1.8254296814319064,29.0,22.0,51.0
338,공습/NNG,1.4342661782679265,29.0,28.0,57.0
339,가치평가/NNG,1.846411631793193,16.0,12.0,28.0
340,징수/NNG,1.5386763598276605,10.0,9.0,19.0
341,요금/NNG;인하/NNG,1.6617704686138732,12.0,10.0,22.0
342,누증/NNG,3.2023701738913184,37.0,16.0,53.0
343,농업인/NNG,1.90411199528673,11.0,8.0,19.0
344,만장/NNG,2.670702538843725,27.0,14.0,41.0
345,환시/NNG,1.3232616694517878,86.0,90.0,176.0
346,물가/NNG;상승률/NNG;떨어/VV,1.9782981769212775,10.0,7.0,17.0
347,다행/NNG,1.342844823122322,32.0,33.0,65.0
348,카드채/NNG,1.4122695200684476,720.0,706.0,1426.0
349,유추/NNG,1.3848087238448945,15.0,15.0,30.0
350,참조/NNG,1.545154997132198,106.0,95.0,201.0
351,자세히/MAG,2.031052794972512,22.0,15.0,37.0
352,감행/NNG,2.596516357209177,15.0,8.0,23.0
353,화물/NNG,1.6925439958104267,22.0,18.0,40.0
354,편편/NNG,1.3848087238448945,9.0,9.0,18.0
355,저평/NNG,1.668872051813078,47.0,39.0,86.0
356,균열/NNG,1.9782981769212775,10.0,7.0,17.0
357,팽창/NNG,2.403050432554376,59.0,34.0,93.0
358,경기/NNG;모멘텀/NNG;개선/NNG,1.3848087238448945,16.0,16.0,32.0
359,세분화/NNG,2.9080983200742785,42.0,20.0,62.0
360,손해액/NNG,6.924043619224473,15.0,3.0,18.0
361,운신/NNG,2.1541469037587246,14.0,9.0,23.0
362,음식료품/NNG,1.5579098143255063,9.0,8.0,17.0
363,제일/NNG,1.5579098143255063,9.0,8.0,17.0
364,정국/NNG,1.938732213382852,14.0,10.0,24.0
365,성장/NNG;둔화/NNG;우려/NNG,1.523289596229384,11.0,10.0,21.0
366,장기부채/NNG,1.3848087238448945,24.0,24.0,48.0
367,사회보장/NNG,1.8339358775243195,49.0,37.0,86.0
368,전망/NNG;경기/NNG;회복/NNG,1.8883755325157652,15.0,11.0,26.0
369,엘에스엠/NNG,1.426772624567467,34.0,33.0,67.0
370,아파트실거래가격지수/NNG,1.9782981769212775,10.0,7.0,17.0
371,순매수비중/NNG,2.631136575305299,38.0,20.0,58.0
372,기준점/NNG,1.938732213382852,14.0,10.0,24.0
373,신성장동력/NNG,2.328996490102777,37.0,22.0,59.0
374,신용스프레드/NNG;소폭/MAG;확대/NNG,2.967447265381917,15.0,7.0,22.0
375,일치/NNG,1.8395220361521727,89.0,67.0,156.0
376,윤여/NNG,1.7310109048061175,100.0,80.0,180.0
377,이어서/MAG,1.4893225897954523,57.0,53.0,110.0
378,상호금융/NNG,1.3848087238448947,22.0,22.0,44.0
379,두렵/VA,1.9618123587802672,17.0,12.0,29.0
380,통화/NNG;약세/NNG,1.3848087238448945,35.0,35.0,70.0
381,기울여야/VV,2.769617447689789,14.0,7.0,21.0
382,중소기업진흥공단/NNG,1.495593421752486,27.0,25.0,52.0
383,지날수록/VV,1.5107004260126122,12.0,11.0,23.0
384,영업이익/NNG;개선/NNG,1.7624838303480477,14.0,11.0,25.0
385,전망/NNG;하향/NNG;안정/NNG,1.90411199528673,11.0,8.0,19.0
386,편향/NNG,1.523289596229384,22.0,20.0,42.0
387,방만/NNG,1.3848087238448947,11.0,11.0,22.0
388,납입금/NNG,1.6156101778190437,14.0,12.0,26.0
389,폴라리스/NNG,2.2200901763227674,101.0,63.0,164.0
390,여진/NNG,8.308852343069367,18.0,3.0,21.0
391,금리/NNG;상승/NNG;금리/NNG;상승/NNG,1.6925439958104267,11.0,9.0,20.0
392,인니/NNG,1.4434249661240437,197.0,189.0,386.0
393,투자/NNG;축소/NNG,1.3848087238448945,10.0,10.0,20.0
394,금리/NNG;불안/NNG,1.5579098143255063,9.0,8.0,17.0
395,조류/NNG,10.524546301221196,76.0,10.0,86.0
396,투자분석/NNG,2.1541469037587246,14.0,9.0,23.0
397,주주가치/NNG,1.6156101778190437,21.0,18.0,39.0
