words,count_up,count_down,total,polarity_score
조달청/NNG,15.0,3.0,18.0,6.924043619224473
사업영역/NNG,16.0,16.0,32.0,1.3848087238448945
가격/NNG;약세/NNG,17.0,15.0,32.0,1.569449887024214
전전/NNG,77.0,20.0,97.0,5.331513586802843
중기채/NNG,12.0,5.0,17.0,3.3235409372277465
국채선물/NNG,3343.0,3024.0,6367.0,1.530891390149961
매트릭스/NNG,16.0,12.0,28.0,1.846411631793193
국민연금기금/NNG,12.0,8.0,20.0,2.0772130857673416
불황형/NNG,16.0,12.0,28.0,1.846411631793193
월별/NNG,209.0,185.0,394.0,1.5644595853166647
만장일치/NNG,261.0,275.0,536.0,1.3143093706309723
내외/NNG;성장/NNG,11.0,10.0,21.0,1.523289596229384
금리/NNG;상승/NNG;모멘텀/NNG,10.0,7.0,17.0,1.9782981769212775
기법/NNG,14.0,12.0,26.0,1.6156101778190437
채권시장/NNG;긍정적/VAX,16.0,15.0,31.0,1.4771293054345545
강자/NNG,15.0,9.0,24.0,2.30801453974149
예상/NNG;넘/VV,30.0,26.0,56.0,1.5978562198210322
여수신/NNG,11.0,8.0,19.0,1.90411199528673
시시시/NNG,18.0,1.0,19.0,24.9265570292081
환매수/NNG,40.0,38.0,78.0,1.4576933935209415
선수/NNG,10.0,10.0,20.0,1.3848087238448945
쉽사리/MAG,21.0,21.0,42.0,1.3848087238448945
집단행동/NNG,16.0,15.0,31.0,1.4771293054345545
영업력/NNG,9.0,8.0,17.0,1.5579098143255063
무역대표부/NNG,10.0,10.0,20.0,1.3848087238448945
주택사업/NNG,28.0,16.0,44.0,2.4234152667285653
월금/NNG,23.0,15.0,38.0,2.123373376562172
금리/NNG;하락/NNG;제한적/VAX,14.0,11.0,25.0,1.7624838303480477
어감/NNG,42.0,33.0,75.0,1.7624838303480477
유로존/NNG;개선/NNG,11.0,8.0,19.0,1.90411199528673
리라/NNG,195.0,197.0,392.0,1.3707497520292105
주택가격/NNG;하락/NNG,23.0,21.0,44.0,1.5166952689729798
좌하/NNG,15.0,14.0,29.0,1.4837236326909584
